,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
36,36,20151031,2016,POR,PHO,1538.046222,1475.389919,0.718356717,0.281643283,90,101,Phoenix,27,29,18,27,105,23,25,23,19,-125,204,-2,A,1348,18,L ,,,,,,,,,,,,,,,,,,,36,20151031,2016,POR,PHO,1538.046222,1475.389919,0.718356717,0.281643283,90,101,Phoenix,27,29,18,27,105,23,25,23,19,-125,204,-2,A,1348,18,L ,,,,,,,,,,,,,,,,,,
32,32,20151031,2016,WAS,NYK,1545.398308,1348.170798,0.846963233,0.153036767,110,117,NewYork,29,30,28,30,260,29,27,34,20,-320,205,-7,A,1349,13,L ,,,,,,,,,,,,,,,,,,,32,20151031,2016,WAS,NYK,1545.398308,1348.170798,0.846963233,0.153036767,110,117,NewYork,29,30,28,30,260,29,27,34,20,-320,205,-7,A,1349,13,L ,,,,,,,,,,,,,,,,,,
39,39,20151101,2016,BOS,SAS,1508.390458,1664.002286,0.420644695,0.579355305,87,95,SanAntonio,23,21,20,31,-260,13,18,23,33,210,203,5.5,A,1350,1,L ,,,,,,,,,,,,,,,,,,,39,20151101,2016,BOS,SAS,1508.390458,1664.002286,0.420644695,0.579355305,87,95,SanAntonio,23,21,20,31,-260,13,18,23,33,210,203,5.5,A,1350,1,L ,,,,,,,,,,,,,,,,,,
43,43,20151101,2016,CHI,ORL,1581.125061,1353.679469,0.868176182,0.131823818,92,87,Orlando,26,14,23,24,300,29,25,21,17,-365,199,-8,H,1351,4,W ,,,,,,,,,,,,,,,,,,,43,20151101,2016,CHI,ORL,1581.125061,1353.679469,0.868176182,0.131823818,92,87,Orlando,26,14,23,24,300,29,25,21,17,-365,199,-8,H,1351,4,W ,,,,,,,,,,,,,,,,,,
38,38,20151101,2016,CHO,ATL,1419.066415,1551.128167,0.45398996,0.54601004,92,94,Atlanta,28,18,24,24,-140,18,21,37,16,120,195.5,2,A,1352,5,L ,,,,,,,,,,,,,,,,,,,38,20151101,2016,CHO,ATL,1419.066415,1551.128167,0.45398996,0.54601004,92,94,Atlanta,28,18,24,24,-140,18,21,37,16,120,195.5,2,A,1352,5,L ,,,,,,,,,,,,,,,,,,
44,44,20151101,2016,LAL,DAL,1326.560953,1553.448467,0.325101856,0.674898144,93,103,Dallas,32,22,27,22,-180,21,24,19,29,160,213,4,A,1353,0,L ,,,,,,,,,,,,,,,,,,,44,20151101,2016,LAL,DAL,1326.560953,1553.448467,0.325101856,0.674898144,93,103,Dallas,32,22,27,22,-180,21,24,19,29,160,213,4,A,1353,0,L ,,,,,,,,,,,,,,,,,,
41,41,20151101,2016,MIA,HOU,1471.235536,1569.66991,0.502253102,0.497746898,109,89,Houston,35,28,12,14,150,30,14,31,34,-170,207.5,-4,H,1354,1,W ,,,,,,,,,,,,,,,,,,,41,20151101,2016,MIA,HOU,1471.235536,1569.66991,0.502253102,0.497746898,109,89,Houston,35,28,12,14,150,30,14,31,34,-170,207.5,-4,H,1354,1,W ,,,,,,,,,,,,,,,,,,
42,42,20151101,2016,OKC,DEN,1574.993256,1448.352857,0.786616028,0.213383972,117,93,Denver,22,28,20,23,800,29,29,37,22,-1300,213.5,-12.5,H,1355,5,W ,,,,,,,,,,,,,,,,,,,42,20151101,2016,OKC,DEN,1574.993256,1448.352857,0.786616028,0.213383972,117,93,Denver,22,28,20,23,800,29,29,37,22,-1300,213.5,-12.5,H,1355,5,W ,,,,,,,,,,,,,,,,,,
40,40,20151101,2016,TOR,MIL,1522.371429,1414.143503,0.76828566,0.23171434,106,87,Milwaukee,19,22,30,16,200,24,31,26,25,-240,201,-6,H,1356,2,W ,,,,,,,,,,,,,,,,,,,40,20151101,2016,TOR,MIL,1522.371429,1414.143503,0.76828566,0.23171434,106,87,Milwaukee,19,22,30,16,200,24,31,26,25,-240,201,-6,H,1356,2,W ,,,,,,,,,,,,,,,,,,
47,47,20151102,2016,BRK,MIL,1447.509117,1407.863724,0.690800314,0.309199686,96,103,Milwaukee,33,26,21,23,-120,33,15,32,16,100,194,1.5,A,1357,7,L ,,,,,,,,,,,,,,,,,,,47,20151102,2016,BRK,MIL,1447.509117,1407.863724,0.690800314,0.309199686,96,103,Milwaukee,33,26,21,23,-120,33,15,32,16,100,194,1.5,A,1357,7,L ,,,,,,,,,,,,,,,,,,
