,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,2H,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
41,41,20161031,2017,ATL,SAC,1587.68998,1462.279632,0.785425104,0.214574896,106,95,Sacramento,15,29,37,14,250,101.5,31,26,27,-310,203,-7.5,H,2669,4,W ,,,,,,,,,,,,,,,,,,,41,20161031,2017,ATL,SAC,1587.68998,1462.279632,0.785425104,0.214574896,106,95,Sacramento,15,29,37,14,250,101.5,31,26,27,-310,203,-7.5,H,2669,4,W ,,,,,,,,,,,,,,,,,,
42,42,20161031,2017,BRK,CHI,1352.197224,1485.768611,0.451836691,0.548163309,88,118,Chicago,38,27,28,25,-245,104,24,22,22,205,209.5,6,A,2670,0,L ,,,,,,,,,,,,,,,,,,,42,20161031,2017,BRK,CHI,1352.197224,1485.768611,0.451836691,0.548163309,88,118,Chicago,38,27,28,25,-245,104,24,22,22,205,209.5,6,A,2670,0,L ,,,,,,,,,,,,,,,,,,
44,44,20161031,2017,LAC,PHO,1602.53034,1370.735005,0.871015495,0.128984505,116,98,Phoenix,24,12,34,28,750,104.5,24,34,34,-1150,204.5,-12.5,H,2671,11,W ,,,,,,,,,,,,,,,,,,,44,20161031,2017,LAC,PHO,1602.53034,1370.735005,0.871015495,0.128984505,116,98,Phoenix,24,12,34,28,750,104.5,24,34,34,-1150,204.5,-12.5,H,2671,11,W ,,,,,,,,,,,,,,,,,,
43,43,20161031,2017,TOR,DEN,1571.02305,1450.439659,0.780705097,0.219294903,105,102,Denver,24,25,35,18,230,0.5,29,26,17,-290,206.5,-6.5,H,2672,8,W ,,,,,,,,,,,,,,,,,,,43,20161031,2017,TOR,DEN,1571.02305,1450.439659,0.780705097,0.219294903,105,102,Denver,24,25,35,18,230,0.5,29,26,17,-290,206.5,-6.5,H,2672,8,W ,,,,,,,,,,,,,,,,,,
45,45,20161101,2017,CLE,HOU,1705.196173,1531.394347,0.828655734,0.171344266,128,120,Houston,35,24,25,36,420,108.5,34,22,43,-540,217,-9.5,H,2673,4,W ,,,,,,,,,,,,,,,,,,,45,20161101,2017,CLE,HOU,1705.196173,1531.394347,0.828655734,0.171344266,128,120,Houston,35,24,25,36,420,108.5,34,22,43,-540,217,-9.5,H,2673,4,W ,,,,,,,,,,,,,,,,,,
48,48,20161101,2017,DET,NYK,1506.320145,1418.12969,0.747120112,0.252879888,102,89,NewYork,29,26,24,10,150,0.5,32,22,16,-170,203,-4,H,2674,5,W ,,,,,,,,,,,,,,,,,,,48,20161101,2017,DET,NYK,1506.320145,1418.12969,0.747120112,0.252879888,102,89,NewYork,29,26,24,10,150,0.5,32,22,16,-170,203,-4,H,2674,5,W ,,,,,,,,,,,,,,,,,,
46,46,20161101,2017,IND,LAL,1513.176527,1339.486823,0.828564074,0.171435926,115,108,LALakers,18,33,28,29,355,105,35,22,31,-450,213.5,-9,H,2675,5,W ,,,,,,,,,,,,,,,,,,,46,20161101,2017,IND,LAL,1513.176527,1339.486823,0.828564074,0.171435926,115,108,LALakers,18,33,28,29,355,105,35,22,31,-450,213.5,-9,H,2675,5,W ,,,,,,,,,,,,,,,,,,
49,49,20161101,2017,MIA,SAC,1566.589176,1458.276064,0.768372946,0.231627054,108,96,Sacramento,26,24,17,24,145,99,26,19,18,-165,199.5,-3.5,H,2676,12,W ,,,,,,,,,,,,,,,,,,,49,20161101,2017,MIA,SAC,1566.589176,1458.276064,0.768372946,0.231627054,108,96,Sacramento,26,24,17,24,145,99,26,19,18,-165,199.5,-3.5,H,2676,12,W ,,,,,,,,,,,,,,,,,,
50,50,20161101,2017,MIN,MEM,1427.116863,1460.513352,0.594693031,0.405306969,116,80,Memphis,16,20,23,21,285,2.5,33,35,19,-350,197.5,-7.5,H,2677,7,W ,,,,,,,,,,,,,,,,,,,50,20161101,2017,MIN,MEM,1427.116863,1460.513352,0.594693031,0.405306969,116,80,Memphis,16,20,23,21,285,2.5,33,35,19,-350,197.5,-7.5,H,2677,7,W ,,,,,,,,,,,,,,,,,,
51,51,20161101,2017,NOP,MIL,1392.013153,1406.615322,0.62048079,0.37951921,113,117,Milwaukee,29,34,21,33,145,101,22,32,27,-165,204.5,-3.5,A,2678,5,L ,,,,,,,,,,,,,,,,,,,51,20161101,2017,NOP,MIL,1392.013153,1406.615322,0.62048079,0.37951921,113,117,Milwaukee,29,34,21,33,145,101,22,32,27,-165,204.5,-3.5,A,2678,5,L ,,,,,,,,,,,,,,,,,,
47,47,20161101,2017,PHI,ORL,1267.202409,1431.411997,0.408632822,0.591367178,101,103,Orlando,24,19,41,19,-202,7,28,30,14,172,198.5,5,A,2679,3,L ,,,,,,,,,,,,,,,,,,,47,20161101,2017,PHI,ORL,1267.202409,1431.411997,0.408632822,0.591367178,101,103,Orlando,24,19,41,19,-202,7,28,30,14,172,198.5,5,A,2679,3,L ,,,,,,,,,,,,,,,,,,
53,53,20161101,2017,POR,GSW,1581.274944,1671.268329,0.514396695,0.485603305,104,127,GoldenState,34,25,41,27,-240,2.5,28,20,31,200,225.5,5.5,A,2680,4,L ,,,,,,,,,,,,,,,,,,,53,20161101,2017,POR,GSW,1581.274944,1671.268329,0.514396695,0.485603305,104,127,GoldenState,34,25,41,27,-240,2.5,28,20,31,200,225.5,5.5,A,2680,4,L ,,,,,,,,,,,,,,,,,,
