Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 5th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 4-5-6,Bottom of the 5th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 4-5-6,Bottom of the 5th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 4-5-6,Bottom of the 5th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 4-5-6,Bottom of the 5th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 4-5-6,Bottom of the 5th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 4-5-6,Bottom of the 5th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 4-5-6,Bottom of the 5th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 4-5-6,Bottom of the 5th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 4-5-6,Bottom of the 5th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 4-5-6,Bottom of the 5th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 4-5-6,Bottom of the 5th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 4-5-6
b5,2-0,0,---,5(3-1) BBBCX,O,CLE,Carlos Santana,Manny Banuelos,-2%,79%,Lineout: 3B
b5,2-0,1,---,4(2-1) BSBX,R,CLE,Jordan Luplow,Manny Banuelos,8%,87%,Home Run (Fly Ball to Deep CF)
b5,3-0,1,---,3(0-2) FFX,,CLE,Carlos Gonzalez,Manny Banuelos,1%,88%,Single to LF (Line Drive to LF Line)
b5,3-0,1,1--,4(1-2) CBFX,,CLE,Jake Bauers,Manny Banuelos,4%,92%,Double to RF (Line Drive to RF Line); Gonzalez to 3B
b5,3-0,1,-23,2(0-1) CX,R,CLE,Roberto Perez,Manny Banuelos,3%,95%,Single to LF (Ground Ball thru SS-3B Hole); Gonzalez Scores; Bauers to 3B
,,,,,,,,,Josh Osich replaces Manny Banuelos pitching,Josh Osich replaces Manny Banuelos pitching,Josh Osich replaces Manny Banuelos pitching
b5,4-0,1,1-3,5(1-2) .SFFBS,O,CLE,Tyler Naquin,Josh Osich,-2%,93%,Strikeout Swinging
b5,4-0,2,1-3,2(0-1) FX,R,CLE,Francisco Lindor,Josh Osich,3%,96%,Double to RF (Fly Ball to Deep RF Line); Bauers Scores; Perez to 3B
b5,5-0,2,-23,4(3-0) BBBB,,CLE,Jason Kipnis,Josh Osich,0%,96%,Walk
b5,5-0,2,123,2(0-1) SX,O,CLE,Jose Ramirez,Josh Osich,-1%,95%,Flyball: LF (LF Line)
,,,,,,,,,3 runs 5 hits 0 errors 3 LOB. White Sox 0 Indians 5.,3 runs 5 hits 0 errors 3 LOB. White Sox 0 Indians 5.,3 runs 5 hits 0 errors 3 LOB. White Sox 0 Indians 5.
