,lead_changes,h_Avg_pts,h_Avg_pts_alwd,h_fga,h_fg_pct,h_fg2a,h_fg2_pct,h_fg3a,h_fg3_pct,h_fta,h_ft_pct,h_opp_fga,h_opp_fg_pct,h_opp_fg2a,h_opp_fg2_pct,h_opp_fg3a,h_opp_fg3_pct,h_opp_fta,result,home_id1,opp_id_x,Date1,lead_changes,Avg_pts_alwd,Avg_pts,fg,fga,fg_pct,fg2a,fg2_pct,fg3a,fg3_pct,fta,opp_fga,opp_fg_pct,opp_fg2a,opp_fg2_pct,opp_fg3a,opp_fg3_pct,opp_fta,opp_ft_pct,home_id,opp_id_x,Date,season,neutral,opp_id_y,elo1_pre,elo2_pre,elo_prob1,elo_prob2,score1,score2
84,,,,,,,,,,,,,,,,,,,L,IND,WAS,11/8/14,,,,,,,,,,,,,,,,,,,,IND,WAS,11/8/14,2015,0,WAS,1490.8501,1553.229,0.5539305,0.4460695,90,97
85,,,,,,,,,,,,,,,,,,,W,LAC,POR,11/8/14,,,,,,,,,,,,,,,,,,,,LAC,POR,11/8/14,2015,0,POR,1612.9148,1579.3641,0.683256844,0.316743156,106,102
86,,,,,,,,,,,,,,,,,,,W,MIA,MIN,11/8/14,,,,,,,,,,,,,,,,,,,,MIA,MIN,11/8/14,2015,0,MIN,1570.1465,1508.1108,0.717633368,0.282366632,102,92
87,,,,,,,,,,,,,,,,,,,W,MIL,MEM,11/8/14,,,,,,,,,,,,,,,,,,,,MIL,MEM,11/8/14,2015,0,MEM,1330.1069,1620.6356,0.250345333,0.749654667,93,92
88,,,,,,,,,,,,,,,,,,,L,SAS,NOP,11/8/14,,,,,,,,,,,,,,,,,,,,SAS,NOP,11/8/14,2015,0,NOP,1682.0265,1461.2051,0.863750529,0.136249471,99,100
89,,,,,,,,,,,,,,,,,,,W,BRK,ORL,11/9/14,,,,,,,,,,,,,,,,,,,,BRK,ORL,11/9/14,2015,0,ORL,1528.8265,1355.9354,0.827910084,0.172089916,104,96
90,,,,,,,,,,,,,,,,,,,L,DAL,MIA,11/9/14,,,,,,,,,,,,,,,,,,,,DAL,MIA,11/9/14,2015,0,MIA,1600.8418,1575.3345,0.673152477,0.326847523,96,105
91,,,,,,,,,,,,,,,,,,,L,DET,UTA,11/9/14,,,,,,,,,,,,,,,,,,,,DET,UTA,11/9/14,2015,0,UTA,1380.3726,1383.0833,0.636462311,0.363537689,96,97
92,,,,,,,,,,,,,,,,,,,W,LAL,CHO,11/9/14,,,,,,,,,,,,,,,,,,,,LAL,CHO,11/9/14,2015,0,CHO,1389.7228,1506.8936,0.475309331,0.524690669,107,92
93,,,,,,,,,,,,,,,,,,,W,OKC,SAC,11/9/14,,,,,,,,,,,,,,,,,,,,OKC,SAC,11/9/14,2015,0,SAC,1571.4899,1479.1001,0.751659887,0.248340113,101,93
94,,,,,,,,,,,,,,,,,,,W,PHO,GSW,11/9/14,,,,,,,,,,,,,,,,,,,,PHO,GSW,11/9/14,2015,0,GSW,1529.6503,1642.474,0.481553588,0.518446412,107,95
95,,,,,,,,,,,,,,,,,,,W,POR,DEN,11/9/14,,,,,,,,,,,,,,,,,,,,POR,DEN,11/9/14,2015,0,DEN,1575.7445,1438.0729,0.797080723,0.202919277,116,100
96,,,,,,,,,,,,,,,,,,,W,TOR,PHI,11/9/14,,,,,,,,,,,,,,,,,,,,TOR,PHI,11/9/14,2015,0,PHI,1581.7811,1286.5818,0.906781054,0.093218946,120,88
97,,,,,,,,,,,,,,,,,,,W,CHI,DET,11/10/14,,,,,,,,,,,,,,,,,,,,CHI,DET,11/10/14,2015,0,DET,1557.6415,1374.7932,0.835923689,0.164076311,102,91
98,,,,,,,,,,,,,,,,,,,W,CLE,NOP,11/10/14,,,,,,,,,,,,,,,,,,,,CLE,NOP,11/10/14,2015,0,NOP,1471.7831,1470.5984,0.641634625,0.358365375,118,111
99,,,,,,,,,,,,,,,,,,,W,IND,UTA,11/10/14,,,,,,,,,,,,,,,,,,,,IND,UTA,11/10/14,2015,0,UTA,1481.2407,1388.6626,0.751862168,0.248137832,97,86
