,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
44,44,20171023,2018,DAL,GSW,1417.59255,1739.165185,0.218321528,0.781678472,103,133,GoldenState,40,25,34,34,-1400,24,38,22,19,800,217.5,13.5,A,3977,0,L ,,,,,,,,,,,,,,,,,,,44,20171023,2018,DAL,GSW,1417.59255,1739.165185,0.218321528,0.781678472,103,133,GoldenState,40,25,34,34,-1400,24,38,22,19,800,217.5,13.5,A,3977,0,L ,,,,,,,,,,,,,,,,,,
45,45,20171023,2018,DEN,WAS,1540.047647,1570.12036,0.599296285,0.400703715,104,109,Washington,29,27,22,31,170,29,26,22,27,-200,224,-5,A,3978,13,L ,,,,,,,,,,,,,,,,,,,45,20171023,2018,DEN,WAS,1540.047647,1570.12036,0.599296285,0.400703715,104,109,Washington,29,27,22,31,170,29,26,22,27,-200,224,-5,A,3978,13,L ,,,,,,,,,,,,,,,,,,
39,39,20171023,2018,DET,PHI,1469.632173,1361.98783,0.767687076,0.232312924,86,97,Philadelphia,31,25,19,22,140,22,21,24,19,-160,213.5,-3,A,3979,0,L ,,,,,,,,,,,,,,,,,,,39,20171023,2018,DET,PHI,1469.632173,1361.98783,0.767687076,0.232312924,86,97,Philadelphia,31,25,19,22,140,22,21,24,19,-160,213.5,-3,A,3979,0,L ,,,,,,,,,,,,,,,,,,
42,42,20171023,2018,HOU,MEM,1592.871326,1513.949751,0.736907245,0.263092755,90,98,Memphis,24,26,20,28,280,26,31,19,14,-360,213.5,-8,A,3980,2,L ,,,,,,,,,,,,,,,,,,,42,20171023,2018,HOU,MEM,1592.871326,1513.949751,0.736907245,0.263092755,90,98,Memphis,24,26,20,28,280,26,31,19,14,-360,213.5,-8,A,3980,2,L ,,,,,,,,,,,,,,,,,,
40,40,20171023,2018,MIA,ATL,1545.668744,1473.319108,0.729507298,0.270492702,104,93,Atlanta,23,21,29,20,500,26,36,15,27,-700,205,-10.5,H,3981,1,W ,,,,,,,,,,,,,,,,,,,40,20171023,2018,MIA,ATL,1545.668744,1473.319108,0.729507298,0.270492702,104,93,Atlanta,23,21,29,20,500,26,36,15,27,-700,205,-10.5,H,3981,1,W ,,,,,,,,,,,,,,,,,,
41,41,20171023,2018,MIL,CHO,1511.85045,1476.471451,0.685530126,0.314469874,103,94,Charlotte,25,29,23,17,210,18,35,30,20,-260,203.5,-6.5,H,3982,14,W ,,,,,,,,,,,,,,,,,,,41,20171023,2018,MIL,CHO,1511.85045,1476.471451,0.685530126,0.314469874,103,94,Charlotte,25,29,23,17,210,18,35,30,20,-260,203.5,-6.5,H,3982,14,W ,,,,,,,,,,,,,,,,,,
46,46,20171023,2018,PHO,SAC,1344.5123,1419.935223,0.535310379,0.464689621,117,115,Sacramento,17,34,25,39,-140,36,23,28,30,120,206.5,2.5,H,3983,1,W ,,,,,,,,,,,,,,,,,,,46,20171023,2018,PHO,SAC,1344.5123,1419.935223,0.535310379,0.464689621,117,115,Sacramento,17,34,25,39,-140,36,23,28,30,120,206.5,2.5,H,3983,1,W ,,,,,,,,,,,,,,,,,,
43,43,20171023,2018,SAS,TOR,1629.312692,1547.539615,0.74007722,0.25992278,101,97,Toronto,23,27,24,23,125,21,29,25,26,-145,202,-2.5,H,3984,22,W ,,,,,,,,,,,,,,,,,,,43,20171023,2018,SAS,TOR,1629.312692,1547.539615,0.74007722,0.25992278,101,97,Toronto,23,27,24,23,125,21,29,25,26,-145,202,-2.5,H,3984,22,W ,,,,,,,,,,,,,,,,,,
49,49,20171024,2018,BOS,NYK,1525.780728,1392.874065,0.792608078,0.207391922,110,89,NewYork,17,16,27,29,240,30,24,23,33,-300,208,-7,H,3985,5,W ,,,,,,,,,,,,,,,,,,,49,20171024,2018,BOS,NYK,1525.780728,1392.874065,0.792608078,0.207391922,110,89,NewYork,17,16,27,29,240,30,24,23,33,-300,208,-7,H,3985,5,W ,,,,,,,,,,,,,,,,,,
47,47,20171024,2018,CLE,CHI,1621.383306,1479.090076,0.801349781,0.198650219,119,112,Chicago,38,30,24,20,1100,28,37,26,28,-2500,205.5,-15,H,3986,3,W ,,,,,,,,,,,,,,,,,,,47,20171024,2018,CLE,CHI,1621.383306,1479.090076,0.801349781,0.198650219,119,112,Chicago,38,30,24,20,1100,28,37,26,28,-2500,205.5,-15,H,3986,3,W ,,,,,,,,,,,,,,,,,,
52,52,20171024,2018,LAC,UTA,1605.748954,1584.612374,0.667592917,0.332407083,102,84,Utah,20,21,15,28,170,27,15,33,27,-200,196,-5,H,3987,9,W ,,,,,,,,,,,,,,,,,,,52,20171024,2018,LAC,UTA,1605.748954,1584.612374,0.667592917,0.332407083,102,84,Utah,20,21,15,28,170,27,15,33,27,-200,196,-5,H,3987,9,W ,,,,,,,,,,,,,,,,,,
50,50,20171024,2018,MIN,IND,1484.16037,1485.519279,0.638260868,0.361739132,107,130,Indiana,33,28,37,32,500,20,41,23,23,-700,218,-10.5,A,3988,10,L ,,,,,,,,,,,,,,,,,,,50,20171024,2018,MIN,IND,1484.16037,1485.519279,0.638260868,0.361739132,107,130,Indiana,33,28,37,32,500,20,41,23,23,-700,218,-10.5,A,3988,10,L ,,,,,,,,,,,,,,,,,,
48,48,20171024,2018,ORL,BRK,1438.884083,1416.371101,0.669348835,0.330651165,125,121,Brooklyn,30,31,35,25,170,30,31,26,38,-200,228.5,-5,H,3989,9,W ,,,,,,,,,,,,,,,,,,,48,20171024,2018,ORL,BRK,1438.884083,1416.371101,0.669348835,0.330651165,125,121,Brooklyn,30,31,35,25,170,30,31,26,38,-200,228.5,-5,H,3989,9,W ,,,,,,,,,,,,,,,,,,
51,51,20171024,2018,POR,NOP,1569.897724,1485.101107,0.743411262,0.256588738,103,93,Neworleans,19,29,25,20,170,29,18,24,32,-200,216.5,-5,H,3990,14,W ,,,,,,,,,,,,,,,,,,,51,20171024,2018,POR,NOP,1569.897724,1485.101107,0.743411262,0.256588738,103,93,Neworleans,19,29,25,20,170,29,18,24,32,-200,216.5,-5,H,3990,14,W ,,,,,,,,,,,,,,,,,,
